"Time","opctyngppri01 : Actives"
2022-05-03 02:00:00,1620
2022-05-03 05:00:00,870
2022-05-03 08:00:00,1645
2022-05-03 11:00:00,3174
2022-05-03 14:00:00,2588
2022-05-03 17:00:00,2422
2022-05-03 20:00:00,812
2022-05-03 23:00:00,638
2022-05-04 02:00:00,1562
2022-05-04 05:00:00,669
2022-05-04 08:00:00,1637
2022-05-04 11:00:00,3396
2022-05-04 14:00:00,2850
2022-05-04 17:00:00,2377
2022-05-04 20:00:00,805
2022-05-04 23:00:00,662
2022-05-05 02:00:00,1592
2022-05-05 05:00:00,672
2022-05-05 08:00:00,1735
2022-05-05 11:00:00,3388
2022-05-05 14:00:00,2720
2022-05-05 17:00:00,2444
2022-05-05 20:00:00,808
2022-05-05 23:00:00,637
2022-05-06 02:00:00,1619
2022-05-06 05:00:00,948
2022-05-06 08:00:00,1566
2022-05-06 11:00:00,3926
2022-05-06 14:00:00,2804
2022-05-06 17:00:00,2144
2022-05-06 20:00:00,842
2022-05-06 23:00:00,617
2022-05-07 02:00:00,1628
2022-05-07 05:00:00,897
2022-05-07 08:00:00,547
2022-05-07 11:00:00,962
2022-05-07 14:00:00,703
2022-05-07 17:00:00,626
2022-05-07 20:00:00,441
2022-05-07 23:00:00,560
2022-05-08 02:00:00,1586
2022-05-08 05:00:00,812
2022-05-08 08:00:00,298
2022-05-08 11:00:00,417
2022-05-08 14:00:00,380
2022-05-08 17:00:00,397
2022-05-08 20:00:00,401
2022-05-08 23:00:00,567
2022-05-09 02:00:00,1562
2022-05-09 05:00:00,836
2022-05-09 08:00:00,1586
2022-05-09 11:00:00,3205
2022-05-09 14:00:00,2646
2022-05-09 17:00:00,2402
2022-05-09 20:00:00,768
2022-05-09 23:00:00,807
2022-05-10 02:00:00,1617
2022-05-10 05:00:00,834
2022-05-10 08:00:00,1722
2022-05-10 11:00:00,3519
2022-05-10 14:00:00,3201
2022-05-10 17:00:00,2812
2022-05-10 20:00:00,787
2022-05-10 23:00:00,622
2022-05-11 02:00:00,1534
2022-05-11 05:00:00,632
2022-05-11 08:00:00,1643
2022-05-11 11:00:00,3680
2022-05-11 14:00:00,2876
2022-05-11 17:00:00,2383
2022-05-11 20:00:00,803
2022-05-11 23:00:00,633
2022-05-12 02:00:00,1568
2022-05-12 05:00:00,666
2022-05-12 08:00:00,1608
2022-05-12 11:00:00,3596
2022-05-12 14:00:00,3318
2022-05-12 17:00:00,2911
2022-05-12 20:00:00,918
2022-05-12 23:00:00,734
2022-05-13 02:00:00,1704
2022-05-13 05:00:00,993
2022-05-13 08:00:00,1601
2022-05-13 11:00:00,3552
2022-05-13 14:00:00,2758
2022-05-13 17:00:00,2337
2022-05-13 20:00:00,914
2022-05-13 23:00:00,694
2022-05-14 02:00:00,1683
2022-05-14 05:00:00,934
2022-05-14 08:00:00,573
2022-05-14 11:00:00,923
2022-05-14 14:00:00,685
2022-05-14 17:00:00,691
2022-05-14 20:00:00,528
2022-05-14 23:00:00,607
2022-05-15 02:00:00,1642
2022-05-15 05:00:00,897
2022-05-15 08:00:00,312
2022-05-15 11:00:00,456
2022-05-15 14:00:00,389
2022-05-15 17:00:00,424
2022-05-15 20:00:00,412
2022-05-15 23:00:00,571
2022-05-16 02:00:00,1577
2022-05-16 05:00:00,848
2022-05-16 08:00:00,1741
2022-05-16 11:00:00,3302
2022-05-16 14:00:00,2944
2022-05-16 17:00:00,2502
2022-05-16 20:00:00,759
2022-05-16 23:00:00,625
